Perfil,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01
tenegupi,61.2%,61.0%,60.1%,61.5%,63.3%,63.3%,62.3%,62.3%,62.1%
ratifa_68,65.9%,64.1%,62.1%,63.4%,65.1%,65.5%,64.4%,66.3%,67.1%
mifu_96,84.1%,84.9%,83.3%,84.9%,84.9%,84.9%,85.7%,85.7%,86.9%
rofecofe.make,82.8%,81.1%,81.1%,82.2%,81.6%,82.2%,82.9%,82.9%,83.8%
ceme.87,69.4%,68.3%,67.4%,67.5%,68.0%,67.7%,67.7%,67.7%,67.6%
tire_64,52.0%,52.0%,52.0%,52.7%,52.4%,52.4%,52.4%,52.4%,52.9%
cifilo.ra,63.5%,62.1%,63.9%,65.3%,66.5%,68.4%,68.4%,68.4%,70.6%
celola.ce,52.5%,51.7%,50.9%,49.4%,48.0%,47.1%,47.1%,45.6%,44.8%
laleme15,52.7%,54.7%,54.7%,55.8%,54.6%,51.3%,51.3%,51.3%,51.3%
pofa_ti,65.2%,63.2%,62.1%,60.6%,60.2%,59.2%,58.3%,58.9%,58.9%
nufopa_beauty,82.5%,83.9%,83.9%,82.5%,81.4%,81.4%,81.7%,81.6%,81.6%
taforo_86,85.0%,85.5%,85.5%,84.5%,84.5%,83.8%,82.0%,80.3%,78.3%
poto_skin,46.2%,46.2%,44.4%,43.3%,44.3%,40.8%,39.6%,41.3%,41.3%
cotile_beauty,60.2%,55.1%,54.6%,54.6%,54.6%,56.1%,56.1%,56.7%,56.7%
puteco_mi,82.1%,84.2%,84.2%,84.8%,84.8%,86.1%,88.0%,88.2%,88.2%
netafi43,76.8%,77.8%,75.7%,77.9%,78.6%,78.6%,80.3%,79.8%,78.8%
fale_ra,46.1%,46.4%,47.4%,47.1%,46.2%,44.9%,45.9%,44.9%,43.2%
mimilimo_82,54.7%,56.6%,54.5%,54.5%,53.3%,53.3%,53.3%,51.3%,55.5%
culunifi49,73.1%,73.6%,75.1%,75.1%,74.7%,74.0%,72.0%,73.6%,72.7%
canepimake,74.2%,72.6%,72.1%,72.1%,72.1%,72.1%,72.1%,72.2%,72.4%
lupigupo_32,68.1%,66.0%,64.5%,63.4%,62.3%,61.5%,62.2%,60.9%,62.2%
rulu61,57.2%,58.5%,57.4%,57.4%,58.8%,58.8%,60.8%,60.3%,60.3%
cetamo_22,50.4%,51.8%,50.7%,50.7%,50.0%,47.8%,46.5%,46.5%,47.9%
lipegice.96,62.0%,62.0%,63.4%,63.6%,62.8%,61.2%,60.4%,60.6%,60.6%
talepila_ga,81.1%,82.7%,81.6%,83.1%,83.1%,83.1%,86.7%,86.6%,86.5%
rupo_na,72.8%,72.8%,74.3%,73.7%,74.5%,76.5%,74.5%,75.8%,77.4%
torufaci.to,65.7%,65.7%,63.5%,65.5%,64.4%,63.1%,62.0%,62.0%,62.0%
nupanu_oficial,56.5%,54.7%,53.8%,53.7%,53.7%,53.7%,54.8%,56.5%,56.5%
curirapa.0,63.7%,65.2%,63.0%,61.5%,62.6%,64.7%,65.3%,65.3%,63.7%
gopune10,76.0%,77.7%,77.1%,76.8%,74.1%,75.6%,74.7%,74.7%,74.7%
togucebeauty,52.9%,52.0%,52.0%,53.7%,52.9%,55.0%,53.0%,52.1%,52.1%
guro_73,80.6%,81.1%,83.2%,83.2%,82.1%,81.2%,83.1%,84.8%,86.9%
natu_go,68.2%,67.3%,65.3%,64.6%,64.6%,62.8%,60.9%,59.8%,61.7%
piragime49,79.9%,79.2%,78.2%,78.3%,80.2%,80.2%,80.6%,80.8%,80.8%
facecuoficial,57.2%,55.7%,56.4%,58.0%,56.8%,56.1%,54.7%,54.7%,54.5%
raco.45,79.6%,79.0%,79.0%,78.4%,78.4%,78.5%,76.6%,74.7%,73.3%
turi_77,53.0%,51.3%,50.4%,51.8%,51.8%,50.5%,51.0%,51.3%,51.3%
ganitigubeauty,52.2%,50.9%,52.1%,52.0%,52.6%,52.6%,52.6%,51.2%,50.2%
tagu14,77.9%,75.3%,75.3%,75.3%,73.3%,72.7%,73.6%,75.2%,73.6%
pipelato27,53.4%,53.4%,53.4%,51.3%,51.3%,50.7%,50.7%,48.8%,46.7%
