Perfil,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01
lanaribeirooo,72.4%,70.81%,72.29%,71.02%,70.89%,72.25%,72.18%,70.9%,
maymartinsvieira,56.12%,54.53%,56.01%,56.01%,54.61%,55.97%,55.97%,55.9%,
rafael_pereira110,61.87%,60.27%,61.76%,61.76%,60.35%,61.72%,61.65%,61.65%,
lucascorts,66.44%,64.84%,66.33%,66.33%,64.92%,64.92%,64.92%,64.92%,
marcinho_carrera,70.3%,68.71%,70.2%,68.92%,68.79%,70.16%,70.16%,70.08%,
grazy_maya,62.52%,60.92%,62.41%,62.41%,61%,62.37%,62.37%,61.02%,
isisvegana,64.34%,62.75%,64.23%,64.23%,62.83%,64.19%,64.19%,64.19%,
k_nnery,79.09%,77.5%,78.98%,78.98%,77.58%,78.94%,78.94%,77.59%,
robert_alves05,62.71%,63.93%,63.83%,62.55%,62.42%,62.42%,62.42%,62.42%,
vansroom,65.09%,63.5%,64.98%,63.71%,66.67%,68.03%,68.03%,68.03%,
gustavopeq,72.58%,70.99%,70.99%,72.48%,71.07%,72.44%,72.44%,72.44%,
kessiomarciel,74.87%,73.28%,74.76%,74.76%,73.36%,74.72%,74.72%,74.65%,
georgiapoletto,70.17%,68.57%,70.06%,70.06%,68.65%,70.02%,70.02%,69.95%,
arthurnogueiracastilho,68.69%,67.1%,68.58%,68.58%,67.18%,68.54%,68.54%,68.47%,
beafrickmann,74.39%,72.8%,74.28%,73.01%,72.88%,74.24%,74.17%,72.89%,
lucascavallieri__,88.17%,86.57%,88.06%,88.06%,86.65%,86.65%,86.65%,86.67%,
rhyan_liborioo,71.88%,70.29%,71.77%,71.77%,70.37%,71.73%,71.73%,71.66%,
baldissera46,74.13%,72.54%,74.03%,74.03%,72.62%,73.99%,73.99%,73.91%,
robertimandrade,65.78%,64.18%,65.67%,65.67%,64.26%,65.63%,65.63%,65.56%,
victorsantiag0,60.27%,58.68%,60.16%,60.16%,58.76%,60.12%,60.12%,58.77%,
beatcampos,79.63%,76.43%,76.43%,77.91%,72.09%,74.46%,74.39%,73.11%,
dicasbruceuchoa,68.92%,67.33%,68.81%,67.54%,67.41%,68.77%,68.7%,67.42%,
pcgiro,71.98%,70.38%,71.87%,71.87%,70.46%,71.83%,71.83%,71.76%,
wilsonfongaroo,79.7%,78.11%,79.6%,79.6%,78.19%,78.19%,78.19%,78.19%,
arianefmiranda,79.18%,77.58%,79.07%,79.07%,77.66%,79.03%,79.03%,78.96%,
aguiar_gleyce,57.25%,55.66%,57.14%,57.14%,55.74%,57.1%,57.03%,57.03%,
abarbaragurgel,63.64%,62.05%,63.53%,63.23%,63.1%,63.49%,63.49%,62.14%,
ingridy0_1_,78.56%,76.97%,78.45%,78.45%,77.05%,74.99%,74.99%,74.92%,
sarkislol1,66.74%,65.14%,66.63%,65.36%,65.22%,66.59%,66.52%,65.24%,
laviine_pinheiro,83.93%,83.93%,83.83%,83.83%,82.42%,82.42%,82.42%,82.42%,
senhoradigitaloficial,60.83%,59.24%,60.73%,60.73%,59.32%,60.69%,60.61%,60.61%,
nossodestino_oficial,74.43%,72.84%,74.32%,73.05%,72.92%,74.28%,74.21%,72.93%
brulouize,51.07%,49.48%,50.96%,50.96%,49.56%,49.56%,49.56%,50.85%,
claudio.agullo,65.56%,63.97%,65.46%,65.46%,64.05%,65.42%,65.42%,65.34%
eduletsplay,65.99%,64.4%,65.89%,64.61%,64.48%,65.85%,65.77%,64.49%,
aesthertorres,64.4%,62.81%,62.81%,64.29%,62.89%,64.25%,64.18%,64.18%,
cristianekarla01,64.2%,62.61%,64.09%,64.09%,62.69%,64.05%,63.98%,63.98%,
eliane_karoline_,55.22%,53.63%,55.11%,53.84%,53.71%,53.71%,55%,53.72%,
vipassando,59.79%,62.06%,62.58%,64.06%,62.66%,64.02%,64.02%,64.02%,
margaretemacieloficial,57.67%,56.08%,57.56%,57.56%,56.16%,56.16%,56.16%,56.16%,
viniciuskids_,65.11%,60.69%,62.4%,64.52%,63.12%,63.12%,63.12%,64.41%,
matheusn7,64.83%,63.24%,64.72%,64.72%,63.32%,64.68%,64.68%,64.61%,
lara.oliferr,70.63%,69.04%,69.04%,70.52%,69.12%,70.48%,70.48%,69.13%,
2lmalaquias,69.44%,67.85%,69.34%,69.34%,67.93%,69.3%,69.22%,69.22%,
